0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
63.0,1.0,6.0,63.0,0.0,63.0,1.0,1.0,63.0,63.0,63.0,2.0,63.0,63.0,63.0,63.0,63.0,63.0,6.0,63.0,64.0,6.0,63.0,63.0,1.0,63.0,0.0,1.0,63.0,63.0,3.0,63.0,63.0,64.0,6.0,64.0,3.0,63.0,63.0,63.0,1.0,1.0,1.0,63.0,63.0,64.0,2.0,6.0,3.0,63.0,6.0,0.0,63.0,1.0,63.0,63.0,0.0,63.0,63.0,0.0,63.0,1.0,63.0,64.0,64.0,64.0,63.0,63.0,64.0,63.0,63.0,63.0,3.0,63.0,1.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,6.0,63.0,63.0,63.0,63.0,63.0,2.0,63.0,63.0,63.0,64.0,63.0,63.0,6.0,63.0,63.0,0.0,1.0,63.0,63.0,63.0,63.0,64.0,63.0,64.0,63.0,63.0,64.0,63.0
64.0,3.0,8.0,63.0,0.0,63.0,0.0,0.0,64.0,63.0,63.0,1.0,63.0,63.0,63.0,63.0,63.0,63.0,8.0,63.0,63.0,8.0,63.0,63.0,0.0,63.0,0.0,2.0,63.0,63.0,4.0,63.0,63.0,64.0,8.0,63.0,4.0,63.0,63.0,63.0,3.0,3.0,3.0,63.0,63.0,63.0,1.0,8.0,4.0,63.0,8.0,0.0,63.0,2.0,63.0,64.0,1.0,63.0,63.0,1.0,63.0,3.0,64.0,63.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,4.0,63.0,3.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,8.0,63.0,64.0,63.0,63.0,63.0,1.0,64.0,63.0,63.0,63.0,64.0,63.0,8.0,63.0,63.0,0.0,2.0,63.0,63.0,63.0,64.0,63.0,63.0,63.0,63.0,64.0,63.0,63.0
62.0,1.0,6.0,62.0,1.0,62.0,1.0,1.0,62.0,63.0,62.0,3.0,62.0,62.0,62.0,63.0,62.0,63.0,6.0,62.0,63.0,6.0,62.0,62.0,1.0,62.0,1.0,2.0,62.0,62.0,3.0,62.0,62.0,63.0,6.0,63.0,3.0,62.0,62.0,62.0,1.0,1.0,1.0,62.0,62.0,62.0,3.0,6.0,3.0,62.0,6.0,1.0,62.0,2.0,62.0,62.0,1.0,63.0,62.0,1.0,62.0,1.0,62.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,3.0,62.0,1.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,62.0,62.0,62.0,62.0,62.0,3.0,62.0,62.0,62.0,62.0,63.0,62.0,6.0,62.0,62.0,1.0,2.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,62.0,63.0,63.0,62.0
61.0,1.0,8.0,61.0,0.0,61.0,0.0,0.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,61.0,8.0,61.0,61.0,0.0,61.0,0.0,1.0,61.0,61.0,4.0,61.0,61.0,61.0,8.0,61.0,4.0,61.0,61.0,61.0,1.0,1.0,1.0,61.0,61.0,61.0,2.0,8.0,4.0,61.0,8.0,0.0,61.0,1.0,61.0,61.0,0.0,61.0,61.0,0.0,61.0,1.0,61.0,62.0,61.0,62.0,61.0,61.0,61.0,61.0,61.0,61.0,4.0,61.0,1.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,61.0,61.0,61.0,62.0,2.0,62.0,61.0,61.0,62.0,62.0,62.0,8.0,62.0,61.0,0.0,1.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,62.0,61.0
63.0,4.0,5.0,64.0,0.0,63.0,0.0,0.0,63.0,63.0,64.0,2.0,63.0,63.0,63.0,64.0,63.0,63.0,5.0,63.0,64.0,5.0,63.0,63.0,1.0,63.0,0.0,2.0,63.0,63.0,4.0,63.0,63.0,63.0,5.0,63.0,4.0,63.0,63.0,63.0,4.0,4.0,4.0,63.0,63.0,64.0,2.0,5.0,4.0,63.0,5.0,0.0,63.0,2.0,63.0,63.0,2.0,63.0,63.0,2.0,63.0,4.0,63.0,64.0,63.0,64.0,63.0,63.0,63.0,63.0,63.0,63.0,4.0,63.0,4.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,5.0,63.0,63.0,63.0,63.0,63.0,2.0,63.0,63.0,63.0,64.0,63.0,63.0,5.0,63.0,63.0,0.0,2.0,63.0,63.0,63.0,63.0,63.0,64.0,64.0,63.0,64.0,64.0,63.0
67.0,3.0,6.0,67.0,0.0,67.0,1.0,1.0,67.0,67.0,68.0,3.0,67.0,67.0,67.0,67.0,67.0,67.0,6.0,67.0,67.0,6.0,67.0,67.0,1.0,67.0,0.0,3.0,67.0,67.0,4.0,67.0,67.0,67.0,6.0,67.0,4.0,67.0,67.0,67.0,3.0,3.0,3.0,67.0,67.0,67.0,3.0,6.0,4.0,67.0,6.0,0.0,67.0,3.0,67.0,67.0,1.0,67.0,67.0,1.0,67.0,3.0,67.0,67.0,68.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,4.0,67.0,3.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,6.0,67.0,68.0,67.0,67.0,67.0,3.0,67.0,67.0,67.0,68.0,68.0,67.0,6.0,67.0,67.0,1.0,3.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,67.0,68.0,68.0,67.0
66.0,5.0,7.0,67.0,0.0,66.0,0.0,0.0,66.0,66.0,66.0,2.0,66.0,66.0,66.0,66.0,66.0,66.0,7.0,66.0,66.0,7.0,66.0,66.0,1.0,66.0,0.0,1.0,66.0,66.0,3.0,66.0,66.0,66.0,7.0,66.0,3.0,66.0,66.0,66.0,5.0,5.0,5.0,66.0,66.0,66.0,2.0,7.0,3.0,67.0,7.0,0.0,66.0,1.0,66.0,66.0,1.0,67.0,66.0,1.0,66.0,5.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,3.0,66.0,5.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,7.0,66.0,66.0,66.0,66.0,66.0,2.0,66.0,66.0,66.0,67.0,66.0,67.0,7.0,66.0,66.0,0.0,1.0,66.0,66.0,67.0,66.0,67.0,67.0,67.0,66.0,67.0,67.0,66.0
59.0,4.0,7.0,59.0,0.0,59.0,0.0,0.0,60.0,59.0,59.0,2.0,59.0,59.0,59.0,59.0,59.0,59.0,7.0,59.0,59.0,7.0,59.0,59.0,1.0,59.0,0.0,2.0,59.0,59.0,3.0,59.0,59.0,59.0,7.0,59.0,3.0,59.0,59.0,59.0,4.0,4.0,4.0,59.0,59.0,59.0,2.0,7.0,3.0,59.0,7.0,0.0,59.0,2.0,59.0,60.0,0.0,59.0,59.0,0.0,59.0,4.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,3.0,59.0,4.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,7.0,59.0,60.0,60.0,59.0,60.0,2.0,60.0,59.0,59.0,60.0,60.0,60.0,7.0,60.0,59.0,0.0,2.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,59.0
71.0,4.0,5.0,71.0,0.0,71.0,0.0,0.0,71.0,71.0,71.0,1.0,71.0,71.0,71.0,71.0,71.0,71.0,5.0,71.0,71.0,5.0,71.0,71.0,1.0,71.0,0.0,1.0,71.0,71.0,4.0,71.0,71.0,71.0,5.0,71.0,4.0,71.0,71.0,71.0,4.0,4.0,4.0,71.0,71.0,71.0,1.0,5.0,4.0,71.0,5.0,0.0,71.0,1.0,71.0,71.0,0.0,71.0,71.0,0.0,71.0,4.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,4.0,71.0,4.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,5.0,71.0,71.0,71.0,71.0,71.0,1.0,71.0,71.0,71.0,72.0,71.0,71.0,5.0,71.0,71.0,0.0,1.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0,71.0,71.0,72.0,71.0
59.0,4.0,6.0,59.0,0.0,59.0,0.0,0.0,59.0,59.0,59.0,2.0,59.0,59.0,59.0,60.0,59.0,59.0,6.0,59.0,60.0,6.0,59.0,59.0,1.0,59.0,0.0,2.0,59.0,59.0,4.0,59.0,59.0,59.0,6.0,59.0,4.0,59.0,59.0,59.0,4.0,4.0,4.0,59.0,59.0,60.0,2.0,6.0,4.0,59.0,6.0,0.0,59.0,2.0,59.0,59.0,1.0,59.0,59.0,1.0,59.0,4.0,60.0,59.0,60.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,4.0,59.0,4.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,6.0,59.0,59.0,59.0,59.0,59.0,2.0,59.0,59.0,59.0,60.0,59.0,59.0,6.0,59.0,59.0,0.0,2.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,59.0,60.0,60.0,59.0
76.0,5.0,8.0,76.0,3.0,76.0,1.0,1.0,76.0,76.0,76.0,3.0,76.0,76.0,76.0,76.0,76.0,76.0,8.0,76.0,76.0,8.0,76.0,76.0,1.0,76.0,3.0,3.0,76.0,76.0,4.0,76.0,76.0,76.0,8.0,76.0,4.0,76.0,76.0,76.0,5.0,5.0,5.0,76.0,76.0,76.0,3.0,8.0,4.0,76.0,8.0,3.0,76.0,3.0,76.0,76.0,1.0,77.0,76.0,1.0,76.0,5.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,4.0,76.0,5.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,8.0,76.0,76.0,76.0,76.0,76.0,3.0,76.0,76.0,76.0,77.0,76.0,76.0,8.0,76.0,76.0,1.0,3.0,76.0,76.0,76.0,76.0,76.0,76.0,77.0,76.0,76.0,76.0,76.0
65.0,4.0,4.0,65.0,0.0,65.0,0.0,0.0,66.0,66.0,65.0,2.0,65.0,65.0,65.0,66.0,65.0,65.0,4.0,65.0,65.0,4.0,65.0,65.0,1.0,65.0,0.0,1.0,65.0,65.0,3.0,65.0,65.0,66.0,4.0,66.0,3.0,65.0,65.0,65.0,4.0,4.0,4.0,65.0,65.0,65.0,2.0,4.0,3.0,65.0,4.0,0.0,65.0,1.0,65.0,65.0,1.0,65.0,65.0,1.0,65.0,4.0,65.0,66.0,65.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0,3.0,65.0,4.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,4.0,65.0,65.0,65.0,65.0,65.0,2.0,65.0,65.0,65.0,66.0,65.0,65.0,4.0,65.0,65.0,1.0,1.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
65.0,3.0,5.0,65.0,0.0,65.0,1.0,1.0,65.0,65.0,65.0,3.0,65.0,65.0,65.0,66.0,65.0,66.0,5.0,65.0,65.0,5.0,65.0,65.0,1.0,65.0,0.0,3.0,65.0,65.0,3.0,65.0,65.0,65.0,5.0,65.0,3.0,65.0,65.0,65.0,3.0,3.0,3.0,65.0,65.0,66.0,3.0,5.0,3.0,65.0,5.0,0.0,65.0,3.0,65.0,65.0,1.0,65.0,65.0,1.0,65.0,3.0,65.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,3.0,65.0,3.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,5.0,65.0,65.0,65.0,65.0,65.0,3.0,65.0,65.0,65.0,66.0,65.0,65.0,5.0,65.0,65.0,1.0,3.0,65.0,65.0,65.0,65.0,65.0,66.0,66.0,65.0,66.0,66.0,65.0
62.0,0.0,6.0,62.0,0.0,62.0,0.0,0.0,62.0,62.0,62.0,2.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,62.0,62.0,6.0,62.0,62.0,1.0,62.0,0.0,2.0,62.0,62.0,4.0,62.0,62.0,62.0,6.0,62.0,4.0,62.0,62.0,62.0,0.0,0.0,0.0,62.0,62.0,62.0,2.0,6.0,4.0,62.0,6.0,0.0,62.0,2.0,62.0,62.0,1.0,62.0,62.0,1.0,62.0,0.0,62.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,4.0,62.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,62.0,62.0,62.0,62.0,62.0,2.0,62.0,62.0,62.0,63.0,62.0,62.0,6.0,63.0,62.0,0.0,2.0,62.0,63.0,63.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,62.0
58.0,4.0,5.0,58.0,0.0,58.0,0.0,0.0,58.0,59.0,58.0,3.0,58.0,58.0,58.0,58.0,59.0,58.0,5.0,58.0,58.0,5.0,59.0,58.0,1.0,58.0,0.0,1.0,58.0,58.0,4.0,58.0,59.0,58.0,5.0,58.0,4.0,58.0,59.0,59.0,4.0,4.0,4.0,58.0,58.0,58.0,3.0,5.0,4.0,59.0,5.0,0.0,58.0,1.0,58.0,58.0,1.0,58.0,58.0,1.0,58.0,4.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,4.0,58.0,4.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,5.0,58.0,58.0,58.0,58.0,58.0,3.0,58.0,58.0,58.0,59.0,58.0,58.0,5.0,58.0,58.0,1.0,1.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,58.0,59.0,59.0,58.0
71.0,5.0,7.0,71.0,1.0,72.0,1.0,1.0,71.0,71.0,71.0,2.0,71.0,71.0,71.0,71.0,71.0,71.0,7.0,71.0,71.0,7.0,71.0,71.0,1.0,71.0,1.0,3.0,71.0,71.0,4.0,71.0,71.0,71.0,7.0,71.0,4.0,71.0,71.0,71.0,5.0,5.0,5.0,71.0,71.0,71.0,2.0,7.0,4.0,72.0,7.0,1.0,71.0,3.0,71.0,71.0,1.0,71.0,71.0,1.0,71.0,5.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,4.0,71.0,5.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,7.0,71.0,71.0,72.0,71.0,71.0,2.0,71.0,71.0,71.0,72.0,71.0,71.0,7.0,72.0,71.0,0.0,3.0,71.0,71.0,71.0,71.0,72.0,71.0,72.0,71.0,71.0,71.0,71.0
68.0,3.0,5.0,68.0,0.0,69.0,0.0,0.0,68.0,68.0,68.0,2.0,68.0,68.0,68.0,68.0,68.0,68.0,5.0,68.0,68.0,5.0,68.0,68.0,0.0,68.0,0.0,2.0,68.0,68.0,3.0,68.0,68.0,68.0,5.0,68.0,3.0,68.0,68.0,68.0,3.0,3.0,3.0,68.0,68.0,68.0,2.0,5.0,3.0,68.0,5.0,0.0,68.0,2.0,68.0,69.0,0.0,68.0,68.0,0.0,68.0,3.0,68.0,69.0,68.0,69.0,68.0,68.0,69.0,68.0,68.0,69.0,3.0,68.0,3.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,5.0,68.0,68.0,68.0,68.0,68.0,2.0,68.0,68.0,68.0,69.0,68.0,68.0,5.0,68.0,68.0,0.0,2.0,68.0,68.0,68.0,68.0,68.0,69.0,69.0,68.0,68.0,68.0,68.0
62.0,4.0,6.0,62.0,0.0,62.0,0.0,0.0,62.0,62.0,62.0,1.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,62.0,63.0,6.0,62.0,62.0,0.0,62.0,0.0,2.0,62.0,62.0,4.0,62.0,62.0,63.0,6.0,63.0,4.0,62.0,62.0,62.0,4.0,4.0,4.0,62.0,62.0,62.0,1.0,6.0,4.0,63.0,6.0,0.0,62.0,2.0,62.0,62.0,1.0,62.0,62.0,1.0,62.0,4.0,62.0,62.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,4.0,62.0,4.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,62.0,62.0,62.0,62.0,62.0,1.0,62.0,62.0,62.0,63.0,62.0,62.0,6.0,62.0,62.0,0.0,2.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,62.0,63.0,63.0,62.0
64.0,1.0,4.0,64.0,0.0,64.0,0.0,0.0,64.0,64.0,64.0,3.0,64.0,64.0,64.0,64.0,64.0,64.0,4.0,64.0,65.0,4.0,64.0,64.0,1.0,64.0,0.0,2.0,64.0,64.0,3.0,64.0,64.0,65.0,4.0,65.0,3.0,64.0,64.0,64.0,1.0,1.0,1.0,64.0,64.0,65.0,3.0,4.0,3.0,64.0,4.0,0.0,64.0,2.0,64.0,64.0,1.0,64.0,64.0,1.0,64.0,1.0,64.0,65.0,65.0,65.0,64.0,64.0,64.0,64.0,64.0,64.0,3.0,64.0,1.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,4.0,64.0,64.0,64.0,64.0,64.0,3.0,64.0,64.0,64.0,65.0,64.0,64.0,4.0,64.0,64.0,1.0,2.0,64.0,64.0,64.0,64.0,64.0,65.0,65.0,64.0,65.0,65.0,64.0
67.0,1.0,4.0,67.0,1.0,67.0,0.0,0.0,67.0,67.0,67.0,2.0,67.0,67.0,67.0,67.0,67.0,67.0,4.0,67.0,68.0,4.0,67.0,67.0,1.0,67.0,1.0,2.0,67.0,67.0,4.0,67.0,67.0,68.0,4.0,67.0,4.0,67.0,67.0,67.0,1.0,1.0,1.0,67.0,67.0,67.0,2.0,4.0,4.0,67.0,4.0,1.0,67.0,2.0,67.0,67.0,1.0,67.0,67.0,1.0,67.0,1.0,68.0,68.0,68.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,4.0,67.0,1.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,4.0,67.0,67.0,67.0,67.0,67.0,2.0,67.0,67.0,67.0,67.0,67.0,67.0,4.0,67.0,67.0,1.0,2.0,67.0,67.0,67.0,67.0,67.0,68.0,68.0,67.0,68.0,68.0,67.0
